year,partner_country,exports,n_records
1992,Argentina,124141239,716
1993,Argentina,247679413,1011
1994,Argentina,291116304,1224
1995,Argentina,273476312,1233
1996,Argentina,336624915,1347
1997,Argentina,465661050,1498
1998,Argentina,549713414,1649
1999,Argentina,496109819,1666
2000,Argentina,610303235,1778
2001,Argentina,573695719,1786
2002,Argentina,185369034,1311
2003,Argentina,447186056,1790
2004,Argentina,852302428,2047
2005,Argentina,1324429053,2241
2006,Argentina,2003896248,2459
2007,Argentina,3581130834,2630
2008,Argentina,5054732598,2732
2009,Argentina,3482892910,2721
2010,Argentina,6115764185,2867
2011,Argentina,8502556365,2937
2012,Argentina,7869366024,2828
2013,Argentina,8750429703,2823
2014,Argentina,7679829418,2863
2015,Argentina,17610212914,6425
2016,Argentina,14401675202,6648
2017,Argentina,18134421696,7007
2018,Argentina,8418070603,3047
2019,Argentina,6884154384,3029
2020,Argentina,7083804680,2981
2021,Argentina,10592598970,3032
2022,Argentina,12769006874,3240
2023,Argentina,10739158729,3179
1992,Brazil,64751735,357
1993,Brazil,192166216,742
1994,Brazil,362390910,995
1995,Brazil,758936985,1272
1996,Brazil,762930545,1365
1997,Brazil,1044389298,1598
1998,Brazil,1085363905,1678
1999,Brazil,876002206,1616
2000,Brazil,1223545495,1841
2001,Brazil,1350925018,1954
2002,Brazil,1466382340,2009
2003,Brazil,2143255914,2165
2004,Brazil,3674104212,2375
2005,Brazil,4827209396,2650
2006,Brazil,7380105731,2918
2007,Brazil,11398472406,3035
2008,Brazil,18807457292,3145
2009,Brazil,14118518263,3179
2010,Brazil,24460651866,3305
2011,Brazil,31836677325,3345
2012,Brazil,33413633342,3351
2013,Brazil,35895471244,3373
2014,Brazil,34890134489,3376
2015,Brazil,54824450852,7860
2016,Brazil,43952305530,7858
2017,Brazil,57901076470,8124
2018,Brazil,33665139187,3402
2019,Brazil,35539063912,3497
2020,Brazil,34953227525,3352
2021,Brazil,53258848788,3476
2022,Brazil,61969970590,3715
2023,Brazil,59105409511,3737
1992,Chile,128144274,888
1993,Chile,204125020,1052
1994,Chile,285317986,1149
1995,Chile,410345048,1236
1996,Chile,463654947,1291
1997,Chile,562191823,1459
1998,Chile,619550054,1537
1999,Chile,605178211,1580
2000,Chile,783525335,1825
2001,Chile,814782181,1907
2002,Chile,998263386,2056
2003,Chile,1283442803,2191
2004,Chile,1688430897,2353
2005,Chile,2149475698,2495
2006,Chile,3109030073,2723
2007,Chile,4432221346,2803
2008,Chile,6186803918,2864
2009,Chile,4928470444,2941
2010,Chile,8024929525,3033
2011,Chile,10816757816,3078
2012,Chile,12600991714,3088
2013,Chile,13105469078,3105
2014,Chile,13017501123,3160
2015,Chile,26580646996,7071
2016,Chile,25605668770,7276
2017,Chile,28819698328,7501
2018,Chile,15873631082,3324
2019,Chile,14711838585,3338
2020,Chile,15336289699,3387
2021,Chile,25996759432,3334
2022,Chile,22520038832,3490
2023,Chile,19508027539,3495
1992,Ecuador,17474010,304
1993,Ecuador,41800549,402
1994,Ecuador,37284553,474
1995,Ecuador,44771358,492
1996,Ecuador,39301603,472
1997,Ecuador,57874993,598
1998,Ecuador,73888200,704
1999,Ecuador,39882691,681
2000,Ecuador,74872641,902
2001,Ecuador,134051379,1202
2002,Ecuador,194476302,1398
2003,Ecuador,239291584,1464
2004,Ecuador,343598377,1617
2005,Ecuador,467350792,1798
2006,Ecuador,714345585,1978
2007,Ecuador,946205457,2118
2008,Ecuador,1547007581,2174
2009,Ecuador,1003564126,2232
2010,Ecuador,1495611929,2323
2011,Ecuador,2224132316,2424
2012,Ecuador,2613995860,2485
2013,Ecuador,2966845611,2567
2014,Ecuador,3245139234,2629
2015,Ecuador,5782831324,5556
2016,Ecuador,4514206602,5634
2017,Ecuador,5926416370,6050
2018,Ecuador,3717829868,2806
2019,Ecuador,3628574265,2848
2020,Ecuador,3252314420,2753
2021,Ecuador,5420050028,2832
2022,Ecuador,6288135830,3099
2023,Ecuador,5861207557,3114
1992,Peru,35458605,358
1993,Peru,61550597,415
1994,Peru,86482960,600
1995,Peru,145596026,801
1996,Peru,135371573,754
1997,Peru,97630241,812
1998,Peru,107228821,896
1999,Peru,130771580,968
2000,Peru,144331664,1232
2001,Peru,176519611,1361
2002,Peru,246643637,1624
2003,Peru,353741239,1735
2004,Peru,418407886,1819
2005,Peru,608884182,2053
2006,Peru,1008535158,2331
2007,Peru,1683201091,2419
2008,Peru,2774371548,2573
2009,Peru,2098874209,2628
2010,Peru,3549668095,2733
2011,Peru,4653277170,2750
2012,Peru,5332543568,2834
2013,Peru,6188837905,2871
2014,Peru,6100847629,2900
2015,Peru,12709947768,6554
2016,Peru,11979553248,6690
2017,Peru,13917730014,6877
2018,Peru,8064691821,3048
2019,Peru,8513082009,3096
2020,Peru,8865725945,3049
2021,Peru,13114377628,3113
2022,Peru,13532298527,3377
2023,Peru,12110982799,3352
