year,imports,n_records
1992,25659363,440
1993,54468941,827
1994,91136411,985
1995,118854567,1010
1996,129136640,1043
1997,183308912,1220
1998,225657114,1392
1999,227472956,1450
2000,355825082,2035
2001,475405466,2284
2002,532846506,2428
2003,688672676,2536
2004,1244729950,2721
2005,1616820854,2916
2006,2219272717,3069
2007,3326573643,3170
2008,4548798105,3226
2009,3715170440,3196
2010,5477428253,3299
2011,8176439711,3421
2012,9564689714,3477
2013,10362788437,3516
2014,11790385212,3566
2015,10032488783,3542
2016,8631419834,3567
2017,35017851767.88416,69947
2018,42178912496.57708,70612
2019,58090696203.42449,100000
2020,58359936172.20851,100000
2021,92499518412.23859,100000
2022,74794963063.43916,72584
2023,54267379657.10602,73047
