ciiu_2d,total_exportsArgentina,total_exportsBrazil,total_exportsChile,total_exportsEcuador,total_exportsPeru
10,217896424,2030669677,745124133,182237008,198953593
11,1058627,41973662,1973157,313219,4735685
12,,,764885,941,85968
13,198193904,1793291361,1094966430,291829693,655307404
14,525501379,2750775890,7488559384,116094794,784300965
15,1356131813,3885778265,11995887027,396045016,2772013504
16,190356379,135743460,930892441,166323748,441401870
17,78553316,566636484,389097952,48082707,144030687
18,51626918,197285867,63743055,8892656,38412396
19,184632235,664417269,1006663696,957697084,530991994
20,4712538965,23821169568,7098880728,2687341780,4907831131
21,2699352934,10955266146,2085908784,668556352,1738445412
22,558987462,2203270997,1176132980,332026775,625678397
23,1567271309,7252776724,2980605063,1171135768,2303783459
24,464194535,3318649590,1994466626,679706975,1448236577
25,1967272607,8825443318,3272588787,1039988874,1931362506
26,20190261616,105165161461,23514592264,4537035128,11729198374
27,9449151848,41704431882,13439522463,3779195575,6630532370
28,4873415929,17965928808,4874065234,1808472841,2475661126
29,1090723187,5852079787,12676986702,4180394106,6086421059
30,20435416,286441969,49869750,4711120,43484141
31,682089103,1525956402,1976432591,286187671,670791358
32,1639682244,7066091921,2227254343,664039793,1371059977
35,151,1154,50,2,1
