ciiu_rev4_3d,n_obs
141,9094
108,9077
222,6782
311,6442
329,6064
181,4856
239,4651
259,4484
202,4345
251,2484
152,2441
281,2401
210,2225
282,2153
101,2084
322,2083
139,1732
104,1710
105,1559
170,1548
201,1474
321,1453
241,1153
131,1089
293,1067
312,1004
192,972
221,956
324,942
110,844
151,796
106,792
103,766
109,751
231,730
332,686
292,644
271,628
325,623
102,572
161,492
279,472
163,468
169,442
331,389
323,378
143,368
242,362
309,350
164,319
107,259
274,256
275,180
162,103
191,98
313,96
291,68
243,53
273,42
272,40
301,30
265,29
203,18
262,18
232,10
